customer_id,name,email,city,state,signup_date,customer_segment
C00001,Customer 1,customer1@example.com,Panipat,Haryana,2025-07-30,Consumer
C00002,Customer 2,customer2@example.com,Mumbai,Maharashtra,2024-01-17,Corporate
C00003,Customer 3,customer3@example.com,Jaipur,Rajasthan,2025-08-21,Small Business
C00004,Customer 4,customer4@example.com,Chennai,Tamil Nadu,2024-10-29,Consumer
C00005,Customer 5,customer5@example.com,Pune,Maharashtra,2024-12-03,Consumer
C00006,Customer 6,,Chennai,Tamil Nadu,2025-08-06,Consumer
C00007,Customer 7,customer7@example.com,Kolkata,West Bengal,2025-07-17,Small Business
C00008,Customer 8,customer8@example.com,Hyderabad,Telangana,2024-09-20,Corporate
C00009,Customer 9,customer9@example.com,Kolkata,West Bengal,2025-04-16,Consumer
C00010,Customer 10,customer10@example.com,Hyderabad,Telangana,2024-06-22,Consumer
C00011,Customer 11,customer11@example.com,Jaipur,Rajasthan,2025-05-15,Consumer
C00012,Customer 12,customer12@example.com,Jaipur,Rajasthan,2025-10-19,Consumer
C00013,Customer 13,customer13@example.com,Jaipur,Rajasthan,2024-02-04,Consumer
C00014,Customer 14,customer14@example.com,Panipat,Haryana,2026-02-21,Consumer
C00015,Customer 15,customer15@example.com,Chennai,Tamil Nadu,2024-05-20,Small Business
C00016,Customer 16,customer16@example.com,Pune,Maharashtra,2024-03-10,Small Business
C00017,Customer 17,customer17@example.com,Mumbai,Maharashtra,2024-01-10,Consumer
C00018,Customer 18,customer18@example.com,Jaipur,Rajasthan,2025-04-11,Corporate
C00019,Customer 19,customer19@example.com,Panipat,Haryana,2025-09-24,Small Business
C00020,Customer 20,,Ahmedabad,Gujarat,2025-05-09,Small Business
C00021,Customer 21,customer21@example.com,Kolkata,West Bengal,2024-01-17,Consumer
C00022,Customer 22,customer22@example.com,Jaipur,Rajasthan,2025-07-18,Corporate
C00023,Customer 23,customer23@example.com,Panipat,Haryana,2024-01-18,Small Business
C00024,Customer 24,customer24@example.com,Bengaluru,Karnataka,2025-07-02,Corporate
C00025,Customer 25,customer25@example.com,Panipat,Haryana,2025-05-29,Small Business
C00026,Customer 26,customer26@example.com,Chennai,Tamil Nadu,2026-04-05,Consumer
C00027,Customer 27,customer27@example.com,Delhi,Delhi,2024-04-08,Small Business
C00028,Customer 28,customer28@example.com,Mumbai,Maharashtra,2024-09-03,Consumer
C00029,Customer 29,customer29@example.com,Ahmedabad,Gujarat,2025-06-23,Corporate
C00030,Customer 30,customer30@example.com,Hyderabad,Telangana,2024-09-30,Corporate
C00031,Customer 31,customer31@example.com,Delhi,Delhi,2025-01-17,Corporate
C00032,Customer 32,customer32@example.com,Kolkata,West Bengal,2025-08-01,Consumer
C00033,Customer 33,customer33@example.com,Pune,Maharashtra,2024-11-03,Small Business
C00034,Customer 34,customer34@example.com,Delhi,Delhi,2025-10-31,Small Business
C00035,Customer 35,customer35@example.com,Panipat,Haryana,2024-04-05,Corporate
C00036,Customer 36,customer36@example.com,Chennai,Tamil Nadu,2025-01-21,Small Business
C00037,Customer 37,customer37@example.com,Kolkata,West Bengal,2024-02-27,Small Business
C00038,Customer 38,customer38@example.com,Panipat,Haryana,2025-12-20,Consumer
C00039,Customer 39,customer39@example.com,Delhi,Delhi,2025-05-26,Corporate
C00040,Customer 40,customer40@example.com,Hyderabad,Telangana,2025-08-02,Consumer
C00041,Customer 41,customer41@example.com,Jaipur,Rajasthan,2024-02-13,Consumer
C00042,Customer 42,customer42@example.com,Pune,Maharashtra,2026-06-07,
C00043,Customer 43,customer43@example.com,Ahmedabad,Gujarat,2025-05-01,Corporate
C00044,Customer 44,customer44@example.com,Panipat,Haryana,2024-03-17,Small Business
C00045,Customer 45,customer45@example.com,Bengaluru,Karnataka,2025-07-10,Small Business
C00046,Customer 46,customer46@example.com,Panipat,Haryana,2024-07-02,Corporate
C00047,Customer 47,customer47@example.com,Panipat,Haryana,2024-07-31,Small Business
C00048,Customer 48,customer48@example.com,Mumbai,Maharashtra,2026-02-09,Small Business
C00049,Customer 49,customer49@example.com,Chennai,Tamil Nadu,2024-03-19,Corporate
C00050,Customer 50,customer50@example.com,Mumbai,Maharashtra,2025-07-31,Consumer
C00051,Customer 51,customer51@example.com,Ahmedabad,Gujarat,2026-05-04,Corporate
C00052,Customer 52,customer52@example.com,Jaipur,Rajasthan,2024-12-05,Corporate
C00053,Customer 53,customer53@example.com,Mumbai,Maharashtra,2026-03-20,Small Business
C00054,Customer 54,customer54@example.com,Delhi,Delhi,2025-05-27,Small Business
C00055,Customer 55,customer55@example.com,Hyderabad,Telangana,2024-02-24,Consumer
C00056,Customer 56,customer56@example.com,Chennai,Tamil Nadu,2024-08-25,Consumer
C00057,Customer 57,customer57@example.com,Hyderabad,Telangana,2025-09-11,Small Business
C00058,Customer 58,customer58@example.com,Ahmedabad,Gujarat,2025-02-10,Corporate
C00059,Customer 59,customer59@example.com,Panipat,Haryana,2025-10-11,Corporate
C00060,Customer 60,customer60@example.com,Kolkata,West Bengal,2025-05-17,Consumer
C00061,Customer 61,customer61@example.com,Hyderabad,Telangana,2025-07-20,Corporate
C00062,Customer 62,customer62@example.com,Chennai,Tamil Nadu,2024-07-09,Small Business
C00063,Customer 63,customer63@example.com,Ahmedabad,Gujarat,2025-11-07,Corporate
C00064,Customer 64,customer64@example.com,Delhi,Delhi,2026-03-01,Small Business
C00065,Customer 65,customer65@example.com,Bengaluru,Karnataka,2026-03-28,Consumer
C00066,Customer 66,customer66@example.com,Delhi,Delhi,2024-03-25,Corporate
C00067,Customer 67,customer67@example.com,Mumbai,Maharashtra,2025-01-24,Small Business
C00068,Customer 68,customer68@example.com,Mumbai,Maharashtra,2026-01-27,Corporate
C00069,Customer 69,customer69@example.com,Hyderabad,Telangana,2025-01-04,Consumer
C00070,Customer 70,customer70@example.com,Delhi,Delhi,2024-01-06,Corporate
C00071,Customer 71,customer71@example.com,Kolkata,West Bengal,2025-01-03,Corporate
C00072,Customer 72,customer72@example.com,Delhi,Delhi,2024-05-15,Consumer
C00073,Customer 73,customer73@example.com,Mumbai,Maharashtra,2025-03-17,Corporate
C00074,Customer 74,customer74@example.com,Jaipur,Rajasthan,2025-07-22,Small Business
C00075,Customer 75,customer75@example.com,Chennai,Tamil Nadu,2024-04-15,Consumer
C00076,Customer 76,customer76@example.com,Delhi,Delhi,2024-12-28,Small Business
C00077,Customer 77,customer77@example.com,Delhi,Delhi,2025-09-03,Small Business
C00078,Customer 78,customer78@example.com,Hyderabad,Telangana,2026-06-03,Corporate
C00079,Customer 79,customer79@example.com,Panipat,Haryana,2024-10-25,Corporate
C00080,Customer 80,customer80@example.com,Chennai,Tamil Nadu,2026-03-08,Consumer
C00081,Customer 81,customer81@example.com,Jaipur,Rajasthan,2024-09-05,Small Business
C00082,Customer 82,customer82@example.com,Jaipur,Rajasthan,2024-06-22,Small Business
C00083,Customer 83,customer83@example.com,Chennai,Tamil Nadu,2024-06-22,Consumer
C00084,Customer 84,customer84@example.com,Bengaluru,Karnataka,2024-11-04,Corporate
C00085,Customer 85,customer85@example.com,Kolkata,West Bengal,2024-05-29,Consumer
C00086,Customer 86,customer86@example.com,Mumbai,Maharashtra,2025-03-21,Corporate
C00087,Customer 87,customer87@example.com,Chennai,Tamil Nadu,2024-11-02,Corporate
C00088,Customer 88,customer88@example.com,Delhi,Delhi,2025-01-04,Corporate
C00089,Customer 89,customer89@example.com,Pune,Maharashtra,2026-01-08,Small Business
C00090,Customer 90,customer90@example.com,Kolkata,West Bengal,2025-08-31,Small Business
C00091,Customer 91,customer91@example.com,Pune,Maharashtra,2025-04-13,Consumer
C00092,Customer 92,customer92@example.com,Mumbai,Maharashtra,2024-11-07,Consumer
C00093,Customer 93,customer93@example.com,Chennai,Tamil Nadu,2024-12-06,Small Business
C00094,Customer 94,customer94@example.com,Chennai,Tamil Nadu,2026-04-03,Corporate
C00095,Customer 95,customer95@example.com,Kolkata,West Bengal,2024-12-08,Corporate
C00096,Customer 96,customer96@example.com,Ahmedabad,Gujarat,2024-05-19,Corporate
C00097,Customer 97,customer97@example.com,Hyderabad,Telangana,2025-09-09,Small Business
C00098,Customer 98,customer98@example.com,Pune,Maharashtra,2025-05-05,Corporate
